Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Launch Site,Version Booster,Booster landing
1,,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",4 June 2010,18:45,CCAFS,F9 v1.0B0003.1,Failure
2,,Dragon,0,LEO,NASA,Success,8 December 2010,15:43,CCAFS,F9 v1.0B0004.1,Failure
3,,Dragon,525 kg,LEO,NASA,Success,22 May 2012,07:44,CCAFS,F9 v1.0B0005.1,"No attempt
"
4,,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",8 October 2012,00:35,CCAFS,F9 v1.0B0006.1,No attempt
5,,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",1 March 2013,15:10,CCAFS,F9 v1.0B0007.1,"No attempt
"
6,,CASSIOPE,500 kg,Polar orbit,MDA,Success,29 September 2013,16:00,VAFB,F9 v1.1B1003,Uncontrolled
7,,SES-8,"3,170 kg",GTO,SES,Success,3 December 2013,22:41,CCAFS,F9 v1.1,No attempt
8,,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,6 January 2014,22:06,CCAFS,F9 v1.1,No attempt
9,,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",18 April 2014,19:25,Cape Canaveral,F9 v1.1,Controlled
10,,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,14 July 2014,15:15,Cape Canaveral,F9 v1.1,Controlled
11,,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,5 August 2014,08:00,Cape Canaveral,F9 v1.1,No attempt
12,,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,7 September 2014,05:00,Cape Canaveral,F9 v1.1,"No attempt
"
13,,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,21 September 2014,05:52,Cape Canaveral,F9 v1.1,Uncontrolled
14,,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,10 January 2015,09:47,Cape Canaveral,F9 v1.1,Failure 
15,,DSCOVR,570 kg,HEO,USAF,"Success
",11 February 2015,23:03,Cape Canaveral,F9 v1.1,Controlled
16,,ABS-3A,"4,159 kg",GTO,ABS,"Success
",2 March 2015,03:50,Cape Canaveral,F9 v1.1,No attempt
17,,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",14 April 2015,20:10,Cape Canaveral,F9 v1.1,Failure
18,,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",27 April 2015,23:03,Cape Canaveral,F9 v1.1,No attempt
19,,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,28 June 2015,14:21,Cape Canaveral,F9 v1.1,Precluded
20,,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",22 December 2015,01:29,Cape Canaveral,F9 FT,Success
21,,Jason-3,553 kg,LEO,NASA,"Success
",17 January 2016,18:42,VAFB,F9 v1.1,Failure
22,,SES-9,"5,271 kg",GTO,SES,"Success
",4 March 2016,23:35,Cape Canaveral,F9 FT,Failure
23,,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,8 April 2016,20:43,Cape Canaveral,F9 FT,Success
24,,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",6 May 2016,05:21,Cape Canaveral,F9 FT,Success
25,,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",27 May 2016,21:39,Cape Canaveral,F9 FT,Success
26,,ABS-2A,"3,600 kg",GTO,ABS,"Success
",15 June 2016,14:29,Cape Canaveral,F9 FT,Failure
